sent_id,text,begin_offset,end_offset,citation_url,date,country,doc_url
aea72c78-d183-11ea-a597-b9c421b787e1_11,Section::::Origins.,1443,1463,,2020-03-29,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_12,"Genetic analysis confirmed that most cases of the virus had mutations indicating a European origin, meaning travelers flying to New York City from Europe brought the virus.",1463,1635,,2020-03-29,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_13,"Americans visiting Italy in late February and returning to New York on March 1 were not asked by customs if they had spent time in Italy, even though the State Department had urged Americans not to travel to Italy on February 29",1636,1864,,2020-03-01,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_14,"(the same day Italy reported 1,100 COVID cases).",1865,1913,https://www.nytimes.com/2020/03/19/health/coronavirus-travel-ban.html,2020-03-01,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_15,"An American who spent months in Milan and returned to New York's JFK Airport on March 3 was only asked if she had been to China or Iran; the same day Italy reported 2,200 COVID cases.",1914,2097,,2020-03-03,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_16,"According to statistical models, New York City already had 600 COVID-19 cases in mid-February, and as many as 10,000 cases by March 1.",2098,2234,https://www.nytimes.com/2020/04/23/us/coronavirus-early-outbreaks-cities.html,2020-03-01,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_17,"Section::::Timeline.March 1 saw the first confirmed case of COVID-19 in New York State, a 39-year-old woman health care worker who lived in Manhattan, who had returned from Iran on February 25 with no symptoms at the time.",2234,2457,,2020-03-01,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_18,She went into home isolation with her husband.,2458,2506,https://edition.cnn.com/2020/03/02/us/new-york-coronavirus-first-case/index.html,2020-03-01,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_19,"On March 3, a second case was confirmed, a lawyer in his 50s who lived in New Rochelle, Westchester County, immediately north of New York City, and worked in Midtown Manhattan at a law firm within One Grand Central Place.",2506,2727,https://www.businessinsider.com/new-york-second-coronavirus-case-attorney-law-firm-grand-central-2020-3?r,2020-03-03,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_20,"He had traveled to Miami in February, but had not visited areas known to have widespread transmission of the coronavirus.",2728,2849,,2020-02-29,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_21,Two of his four children had recently returned from Israel.,2850,2909,,2020-02-29,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_22,"After first feeling ill on February 22, he was admitted to a hospital in Westchester on February 27, diagnosed with pneumonia, and released from isolation after testing negative for the flu.",2910,3100,https://nypost.com/2020/03/03/bronx-jewish-day-school-closes-for-suspected-coronavirus-case/,2020-02-22,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_23,Instances of panic buying in New York were reported after his case was confirmed.,3101,3184,https://nypost.com/2020/03/03/nyc-shoppers-panic-with-second-case-coronavirus-confirmed/,2020-02-22,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_24,"On March 4, the number of cases in New York State increased to 11 as nine people linked to the lawyer tested positive, including his wife, a son, a daughter, a neighbor, and a friend and his family. ",3184,3385,https://nypost.com/2020/03/04/five-more-new-york-coronavirus-cases-confirmed-bringing-state-total-to-11/,2020-03-04,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_25,"On March 5, New York City mayor Bill de Blasio said that coronavirus fears should not keep New Yorkers off the subway, riding from Fulton Street to High Street in a public press attempt to demonstrate the subway's safety. ",3385,3609,https://www.nydailynews.com/coronavirus/ny-coronavirus-bill-de-blasio-coronavirus-subway-20200305-vmjdxjudbndlrjekashqs3hfou-story.html,2020-03-05,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_26,"On March 6, eleven new cases were reported, bringing the state caseload to 33.",3609,3687,https://www.health.ny.gov/diseases/communicable/coronavirus/,2020-03-06,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_27,"All the new cases were tied to the first community transmission case, the lawyer.",3688,3769,https://www.nbcnewyork.com/news/local/more-cases-of-coronavirus-expected-as-ny-plans-to-expand-testing-ability/2314911/,2020-03-06,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_28,"At the end of the day, an additional 11 new cases were reported by the governor, bringing the total caseload to 44, with 8 of the new cases in Westchester County, and 3 in Nassau County on Long Island.",3770,3971,https://twitter.com/nygovcuomo/status/1236046668220567553?s,,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_29,"Also on March 6, an article appeared in the ""New York Post"" stating that while Mayor de Blasio assigned responsibility for the lack of N95 masks and other personal protective equipment to the federal government, the city never ordered the supplies until that date.",3972,4238,https://nypost.com/2020/03/20/city-hall-didnt-order-covid-19-supplies-for-nyc-until-march-6/,2020-03-06,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_30,"On March 7, Governor Andrew Cuomo declared a state of emergency in New York after 89 cases had been confirmed in the state, 70 of them in Westchester County, 12 in New York City and 7 elsewhere. ",4238,4435,https://www.nytimes.com/2020/03/07/nyregion/coronavirus-new-york-queens.html,2020-03-07,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_31,"On March 8, the state reported 16 new confirmed cases and a total of 106 cases statewide.",4435,4524,https://www.nytimes.com/2020/03/08/nyregion/coronavirus-newyork.html,2020-03-08,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_32,"New York City issued new commuter guidelines amid the current outbreak, asking sick individuals to stay off public transit, encouraging citizens to avoid densely packed buses, subways, or trains.",4525,4722,https://www.nbcnewyork.com/news/local/nyc-issues-new-commuter-guidelines-to-combat-coronavirus-spread/2317584/,2020-03-08,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_33,"On March 9, Mayor de Blasio announced that there were 16 confirmed cases of COVID-19 in New York City.",4722,4824,https://www.ny1.com/nyc/all-boroughs/news/2020/03/09/new-york-city-coronavirus-case-numbers-health-update,2020-03-09,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_34,"On March 10, Governor Cuomo announced a containment zone in the city of New Rochelle from March 12 to 25.",4825,4932,https://www.nytimes.com/2020/03/10/nyregion/coronavirus-new-york-update.html,2020-03-10,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_35,"On March 11, Cuomo announced that the City University of New York and State University of New York schools would be closed for the following week, from March 12 to 19.",4932,5099,,2020-03-11,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_36,"These college systems would move most classes to an online-based system starting March 19, and continuing through the rest of the spring semester.",5100,5246,,2020-03-19,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_37,"Dormitories will remain open for students ""who cannot return home for hardship reasons.",5247,5334,https://www.nytimes.com/2020/03/11/nyregion/coronavirus-new-york-update.html,2020-03-19,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_38,""" Also on March 11, a man in Monroe County tested positive, making it the first county in Western New York to have a COVID-19 case.",5334,5465,https://www.nytimes.com/2020/03/11/nyregion/coronavirus-new-york-update.html|https://www.rochesterfirst.com/coronavirus/1st-confirmed-case-of-covid-19-coronavirus-in-monroe-county/,2020-03-11,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_39,"Officials said he flew into JFK from Italy, traveled on a Greyhound bus from Manhattan to Rochester, and arrived locally the morning of March 10.",5466,5611,,2020-03-11,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_40,The bus continued on to Buffalo and Toronto. ,5612,5659,https://www.rochestercitynewspaper.com/rochester/rochester-coronavirus-rode-greyhound-here-from-nyc/Content?oid,2020-03-11,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_41,"On March 12, the first two cases were confirmed in Albany County, leading Albany mayor Kathy Sheehan to suspend the annual St. Patrick's Day parade.",5659,5807,https://cbs6albany.com/news/coronavirus/albany-county-says-there-are-2-cases-of-coronavirus,2020-03-12,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_42,"The same day, a staff member at Union College tested positive for coronavirus in Schenectady County, marking the county's first case.",5808,5943,https://www.news10.com/news/local-news/union-college-staff-member-tests-positive-for-coronavirus/,,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_43,"On March 13, Herkimer County saw its first confirmed case but declined to disclose the patient's location.",5943,6049,,2020-03-13,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_44,"The patient later was revealed to have been from the Mohawk/Ilion area, just south of Herkimer, the county seat. ",6050,6165,https://www.timestelegram.com/news/20200312/individual-tests-positive-for-coronavirus-in-herkimer-county,2020-03-13,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_45,"On March 14, the first two fatalities in the state occurred.",6165,6225,,2020-03-14,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_46,An 82-year-old woman in Brooklyn with pre-existing emphysema died in the hospital.,6226,6308,https://www.cnn.com/2020/03/14/us/nyc-coronavirus-related-death/index.html,,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_47,"A 65-year-old person with other significant health problems who had not previously been tested for COVID-19 died at their home in Suffern, Rockland County.",6309,6464,https://www.nbcnewyork.com/news/local/tri-state-braces-for-further-covid-19-spread-after-house-house-emergency-bill/2326406/,,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_48,It was also announced that three people in Erie County tested positive for COVID-19.,6465,6549,https://www.wgrz.com/article/news/health/coronavirus/3-erie-county-residents-test-positive-for-coronavirus-cuomo-says/71-059af4e0-657f-4de6-9c4c-692b105ee327,2020-03-14,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_49,"Orange County, Dutchess County and Ulster County closed down all their schools.",6550,6631,https://www.recordonline.com/news/20200313/schools-closed-in-orange-ulster-counties-for-2-weeks-due-to-coronavirus,2020-03-14,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_50,"On March 15, the third fatality in the state was announced.",6631,6690,,2020-03-15,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_51,"A 79-year-old woman with underlying health issues died, who had been admitted to a New York City hospital. ",6691,6800,https://newyork.cbslocal.com/2020/03/15/coronavirus-update-death-nyc/,,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_52,"On March 16, Clinton County reported its first case, at CVPH Medical Center in Plattsburgh.",6800,6891,,2020-03-16,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_53,No further information has been revealed about the patient.,6892,6951,https://www.adirondackdailyenterprise.com/news/local-news/2020/03/first-covid-19-case-confirmed-at-plattsburgh-hospital/,2020-03-16,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_54,"Confirmed cases increased by 4,000 between March 22 and 23, which brought the total number of confirmed cases statewide to nearly 21,000.",6952,7089,https://www.nytimes.com/2020/03/24/nyregion/coronavirus-nyc.html,,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_55,"12,305 of these were in New York City. ",7090,7131,https://nypost.com/2020/03/23/cuomo-previews-the-javits-centers-overhaul-into-a-coronavirus-hospital-complex/,2020-03-16,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_56,"On March 24, Cuomo stated that ""The apex is higher than we thought and the apex is sooner than we thought.""",7131,7238,,2020-03-24,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_57,"He warned there was not enough assistance from the federal government and that the state had 25,000 cases and at least 210 deaths.",7239,7369,https://www.bbc.com/news/world-us-canada-52012048,2020-03-24,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_58,211 NYPD officers and civilian employees have tested positive for COVID-19.,7370,7445,,2020-03-24,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_59,"In total, 2,774 NYPD employees, 7.6 percent of the workforce, were sick.211 NYPD officers, civilian members test positive for coronavirus; 7.6 percent of workforce out sick By Michael Ruiz, Fox News, 24 Mar 2020",7446,7657,,2020-03-24,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_60,"There were approximately 4,000 positive cases in Westchester County by March 24, and more than 15,000 confirmed cases by April 9.",7658,7789,https://newyork.cbslocal.com/2020/03/24/coronavirus-westchester-county-george-latimer-new-rochelle/|https://www.wbur.org/hereandnow/2020/04/09/hospital-cleaner-new-york,2020-03-24,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_61,"On March 26, Cuomo announced that the state would allow two patients to share one ventilator using a technique he called ""splitting,"" where a second set of tubes would be added to the ventilator.",7789,7984,,2020-03-26,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_62,"COVID-19 patients need ventilators for between 11 and 21 days, while under normal circumstances patients usually only require them for three to four days.",7985,8139,,,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_63,He also said the state was considering converting anesthesia machines to use as ventilators.,8140,8232,https://www.cnn.com/2020/03/26/health/splitting-ventilators-coronavirus/index.html,2020-03-26,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_64,"Between March 25 and March 26, there were 100 deaths statewide, with the number of hospitalized patients increasing by 40 percent in New York City.",8233,8382,https://www.nytimes.com/2020/03/26/nyregion/coronavirus-new-york-update.html,,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_65,Researchers at Cornell University created an interactive map to visualize the spread of COVID-19 in New York State.,8382,8499,https://news.cornell.edu/stories/2020/04/website-charts-covid-19-spread-across-ny-state,2020-03-26,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_66,Section::::Impact on health care.,8499,8533,,2020-03-26,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_67,Section::::Shortage of protective gear and medical equipment.,8533,8595,,2020-03-26,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_68,"After trying to purchase 200,000 N95 masks on February 7, the Office of Emergency Management learned that vendors were out of stock.",8595,8727,,2020-02-07,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_69,Emergency provisions of masks and hand sanitizers did not arrive until early March.,8728,8811,,,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_70,One medical supply vendor with standing city contracts said that the initial requests for protective gear from the Department of Citywide Administrative Services (DCAS) were bogged down by inefficient bureaucratic delays.,8812,9033,,2020-02-07,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_71,"One vendor said, ""We'd send them a list of products we can deliver within 24, 48 hours,"" but on average it took 72 hours for the agency to place an order.",9034,9188,,2020-02-07,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_72,"He added ""the city just moves so slow"" when there was very high demand coming from hospitals and the private sector.",9189,9305,,2020-02-07,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_73,"According to the contractor, eight out of 10 supply orders could not be filled because DCAS did not pay on time, which a spokeswoman for New York City denied.",9306,9464,,2020-02-07,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_74,The office of the comptroller approved 12 contracts with a total value of $150 million before the mayor's office took over the process on March 16.,9465,9612,,2020-03-16,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_75,"Mayor de Blasio said that the city may run out of supplies by April if the federal government does not send 3 million N95 masks, 50 million surgical masks, 15,000 ventilators, and 45 million surgical gowns, gloves, and face shields.",9613,9847,https://nypost.com/2020/03/20/city-hall-didnt-order-covid-19-supplies-for-nyc-until-march-6/,2020-04-29,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_76,One EMS worker expressed frustration at being asked to wear the less-effective surgical masks.,9847,9941,https://nypost.com/2020/03/21/nyc-first-responders-resent-lack-of-coronavirus-equipment/,2020-04-29,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_77,The police union filed a complaint on March 13 due to NYPD officers not being given masks and other protective gear.,9942,10058,,2020-03-13,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_78,"A spokeswoman called the Police Benevolent Association's complaint ""empty rhetoric"".",10059,10145,https://www.nydailynews.com/new-york/nyc-crime/ny-police-union-coronavirus-equipment-20200313-2dlyg6nwuzerpj7wmw4wsu5spy-story.html,2020-03-13,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_79,"New York gave a $69 million contract to a Silicon Valley engineer to provide 1,000 ventilators.",10145,10240,,2020-03-13,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_80,The ventilators were never delivered.,10241,10278,,2020-03-13,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_81,"As of May 5, New York was seeking a refund.",10279,10322,,2020-05-05,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_82,"The engineer's name had been supplied by federal officials, and they had received it from volunteers in the office of Jared Kushner, senior advisor to President Trump.",10323,10490,,2020-05-05,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_83,"According to the ""New York Times,"" it appears the engineer had not been vetted by anyone.",10491,10582,https://www.nytimes.com/2020/05/05/us/jared-kushner-fema-coronavirus.html,2020-05-05,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
aea72c78-d183-11ea-a597-b9c421b787e1_84,Section::::Hospital overcrowding.,10582,10616,,2020-05-05,USA-NY,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_York_(state)&oldid=970047756
