country,URL,code,approved
Abkhazia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Abkhazia,GEO-AB,TRUE
Asia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Asia,Asia,FALSE
Belgium,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Belgium,BEL,TRUE
Cambodia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Cambodia,KHM,TRUE
Canada,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Canada,CAN,TRUE
Montreal,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Montreal,CAN-Montreal,FALSE
Quebec,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Quebec,CAN-QC,FALSE
Chile,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Chile,CHL,TRUE
Hubei,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Hubei,CHN-HB,FALSE
Macau,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Macau,CHN-MA,FALSE
Shanghai,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Shanghai,CHN-SH,FALSE
Sichuan,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Sichuan,CHN-SI,FALSE
Costa Rica,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Costa_Rica,CRI,TRUE
Croatia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Croatia,HRV,TRUE
the Czech Republic,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Czech_Republic,CZE,TRUE
Denmark,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Denmark,DNK,TRUE
the Donetsk People's Republic,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Donetsk_People's_Republic,UKR-14,FALSE
the Faroe Islands,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Faroe_Islands,DEN-FI,TRUE
Fiji,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Fiji,FJI,TRUE
Germany,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Germany,DEU,TRUE
Bermuda,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Bermuda,GBR-BER,FALSE
the British Virgin Islands,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_British_Virgin_Islands,GBR-BVI,FALSE
Gibraltar,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Gibraltar,GBR-GIB,FALSE
the Isle of Man,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Isle_of_Man,GBR-ISL,FALSE
Montserrat,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Montserrat,GBR-MON,FALSE
the United Kingdom,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_United_Kingdom,GBR,TRUE
Greece,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Greece,GRC,TRUE
Grenada,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Grenada,GRD,TRUE
Guatemala,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Guatemala,GTM,TRUE
Guernsey,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Guernsey,GGY,FALSE
Guyana,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Guyana,GUY,TRUE
Haiti,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Haiti,HTI,TRUE
Honduras,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Honduras,HND,TRUE
Hungary,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Hungary,HUN,TRUE
India,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_India,IND,TRUE
Andhra Pradesh,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Andhra_Pradesh,IND-AP,FALSE
Goa,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Goa,IND-GA,FALSE
Gujarat,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Gujarat,IND-GJ,FALSE
Jharkhand,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Jharkhand,IND-JH,FALSE
Karnataka,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Karnataka,IND-KA,FALSE
Kerala,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Kerala,IND-KL,FALSE
Madhya Pradesh,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Madhya_Pradesh,IND-MP,FALSE
Maharashtra,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Maharashtra,IND-MH,FALSE
Odisha,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Odisha,IND-OR,FALSE
Pune,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Pune,IND-Pune,FALSE
"Punjab, India","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Punjab,_India",IND-PB,FALSE
Rajasthan,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Rajasthan,IND-RJ,FALSE
Uttar Pradesh,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Uttar_Pradesh,IND-UP,FALSE
West Bengal,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_West_Bengal,IND-WB,FALSE
Indonesia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Indonesia,IDN,TRUE
Inner Mongolia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Inner_Mongolia,CHN-MN,FALSE
Iran,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Iran,IRN,TRUE
Iraq,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Iraq,IRQ,TRUE
Italy,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,ITA,TRUE
Jamaica,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Jamaica,JAM,TRUE
Jordan,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Jordan,JOR,TRUE
Kazakhstan,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Kazakhstan,KAZ,TRUE
Kuwait,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Kuwait,KWT,TRUE
the Luhansk People's Republic,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Luhansk_People's_Republic,UKR-09,TRUE
Mainland China,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_mainland_China,CHN,TRUE
Malaysia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Malaysia,MYS,TRUE
Sabah,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Sabah,MYS-12,FALSE
Sarawak,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Sarawak,MYS-13,FALSE
Malta,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Malta,MLT,TRUE
Mexico,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Mexico,MEX,TRUE
Transnistria,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Transnistria,MDA-Transnistria,FALSE
Myanmar,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Myanmar,MMR,TRUE
Nepal,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Nepal,NPL,TRUE
The Netherlands,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Netherlands,NLD,TRUE
Aruba,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Aruba,NLD-ARU,FALSE
Bonaire,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Bonaire,BES,FALSE
Saba,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Saba,BES,FALSE
Sint Maarten,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Sint_Maarten,NLD-SMT,FALSE
Sint Eustatius,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Sint_Eustatius,BES,FALSE
Nicaragua,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Nicaragua,NIC,TRUE
